sigungu_cd,bjdong_cd,sido,sigungu,gu,dong,full_nm,categories
11650,10900,서울특별시,서초구,,내곡동,서울특별시 서초구 내곡동,연구개발
11650,10700,서울특별시,서초구,,반포동,서울특별시 서초구 반포동,연구개발
11650,10100,서울특별시,서초구,,방배동,서울특별시 서초구 방배동,연구개발
11650,10800,서울특별시,서초구,,서초동,서울특별시 서초구 서초동,연구개발
11650,11100,서울특별시,서초구,,신원동,서울특별시 서초구 신원동,연구개발
11650,10200,서울특별시,서초구,,양재동,서울특별시 서초구 양재동,연구개발
11650,11000,서울특별시,서초구,,염곡동,서울특별시 서초구 염곡동,연구개발
11650,10300,서울특별시,서초구,,우면동,서울특별시 서초구 우면동,연구개발
11650,10400,서울특별시,서초구,,원지동,서울특별시 서초구 원지동,연구개발
11650,10600,서울특별시,서초구,,잠원동,서울특별시 서초구 잠원동,연구개발
11680,10300,서울특별시,강남구,,개포동,서울특별시 강남구 개포동,연구개발
11680,10800,서울특별시,강남구,,논현동,서울특별시 강남구 논현동,연구개발
11680,10600,서울특별시,강남구,,대치동,서울특별시 강남구 대치동,연구개발
11680,11800,서울특별시,강남구,,도곡동,서울특별시 강남구 도곡동,연구개발
11680,10500,서울특별시,강남구,,삼성동,서울특별시 강남구 삼성동,연구개발
11680,11100,서울특별시,강남구,,세곡동,서울특별시 강남구 세곡동,연구개발
11680,11500,서울특별시,강남구,,수서동,서울특별시 강남구 수서동,연구개발
11680,10700,서울특별시,강남구,,신사동,서울특별시 강남구 신사동,연구개발
11680,11000,서울특별시,강남구,,압구정동,서울특별시 강남구 압구정동,연구개발
11680,10100,서울특별시,강남구,,역삼동,서울특별시 강남구 역삼동,연구개발
11680,11300,서울특별시,강남구,,율현동,서울특별시 강남구 율현동,연구개발
11680,11400,서울특별시,강남구,,일원동,서울특별시 강남구 일원동,연구개발
11680,11200,서울특별시,강남구,,자곡동,서울특별시 강남구 자곡동,연구개발
11680,10400,서울특별시,강남구,,청담동,서울특별시 강남구 청담동,연구개발
26380,10800,부산광역시,사하구,,감천동,부산광역시 사하구 감천동,일반제조
26380,10100,부산광역시,사하구,,괴정동,부산광역시 사하구 괴정동,일반제조
26380,10700,부산광역시,사하구,,구평동,부산광역시 사하구 구평동,일반제조
26380,10600,부산광역시,사하구,,다대동,부산광역시 사하구 다대동,일반제조
26380,10200,부산광역시,사하구,,당리동,부산광역시 사하구 당리동,일반제조
26380,10400,부산광역시,사하구,,신평동,부산광역시 사하구 신평동,일반제조
26380,10500,부산광역시,사하구,,장림동,부산광역시 사하구 장림동,일반제조
26380,10300,부산광역시,사하구,,하단동,부산광역시 사하구 하단동,일반제조
26440,10300,부산광역시,강서구,,강동동,부산광역시 강서구 강동동,일반제조
26440,11300,부산광역시,강서구,,구랑동,부산광역시 강서구 구랑동,일반제조
26440,11100,부산광역시,강서구,,녹산동,부산광역시 강서구 녹산동,일반제조
26440,12000,부산광역시,강서구,,눌차동,부산광역시 강서구 눌차동,일반제조
26440,10100,부산광역시,강서구,,대저1동,부산광역시 강서구 대저1동,일반제조
26440,10200,부산광역시,강서구,,대저2동,부산광역시 강서구 대저2동,일반제조
26440,12200,부산광역시,강서구,,대항동,부산광역시 강서구 대항동,일반제조
26440,11800,부산광역시,강서구,,동선동,부산광역시 강서구 동선동,일반제조
26440,10400,부산광역시,강서구,,명지동,부산광역시 강서구 명지동,일반제조
26440,11500,부산광역시,강서구,,미음동,부산광역시 강서구 미음동,일반제조
26440,11600,부산광역시,강서구,,범방동,부산광역시 강서구 범방동,일반제조
26440,10800,부산광역시,강서구,,봉림동,부산광역시 강서구 봉림동,일반제조
26440,11200,부산광역시,강서구,,생곡동,부산광역시 강서구 생곡동,일반제조
26440,11900,부산광역시,강서구,,성북동,부산광역시 강서구 성북동,일반제조
26440,10900,부산광역시,강서구,,송정동,부산광역시 강서구 송정동,일반제조
26530,10500,부산광역시,사상구,,감전동,부산광역시 사상구 감전동,일반제조
26530,10400,부산광역시,사상구,,괘법동,부산광역시 사상구 괘법동,일반제조
26530,10300,부산광역시,사상구,,덕포동,부산광역시 사상구 덕포동,일반제조
26530,10200,부산광역시,사상구,,모라동,부산광역시 사상구 모라동,일반제조
26530,10100,부산광역시,사상구,,삼락동,부산광역시 사상구 삼락동,일반제조
26530,10800,부산광역시,사상구,,엄궁동,부산광역시 사상구 엄궁동,일반제조
26530,10600,부산광역시,사상구,,주례동,부산광역시 사상구 주례동,일반제조
26530,10700,부산광역시,사상구,,학장동,부산광역시 사상구 학장동,일반제조
26710,25000,부산광역시,기장군,,기장읍,부산광역시 기장군 기장읍,일반제조
26710,25300,부산광역시,기장군,,장안읍,부산광역시 기장군 장안읍,일반제조
26710,25600,부산광역시,기장군,,정관읍,부산광역시 기장군 정관읍,일반제조
26710,25900,부산광역시,기장군,,일광읍,부산광역시 기장군 일광읍,일반제조
26710,33000,부산광역시,기장군,,철마면,부산광역시 기장군 철마면,일반제조
26710,25030,부산광역시,기장군,,기장읍 만화리,부산광역시 기장군 기장읍 만화리,일반제조
26710,25930,부산광역시,기장군,,일광읍 원리,부산광역시 기장군 일광읍 원리,일반제조
26710,25330,부산광역시,기장군,,장안읍 월내리,부산광역시 기장군 장안읍 월내리,일반제조
26710,25630,부산광역시,기장군,,정관읍 예림리,부산광역시 기장군 정관읍 예림리,일반제조
26710,33030,부산광역시,기장군,,철마면 안평리,부산광역시 기장군 철마면 안평리,일반제조
27290,10600,대구광역시,달서구,,갈산동,대구광역시 달서구 갈산동,일반제조
27290,11300,대구광역시,달서구,,감삼동,대구광역시 달서구 감삼동,일반제조
27290,12300,대구광역시,달서구,,대곡동,대구광역시 달서구 대곡동,일반제조
27290,11900,대구광역시,달서구,,대천동,대구광역시 달서구 대천동,일반제조
27290,11600,대구광역시,달서구,,도원동,대구광역시 달서구 도원동,일반제조
27290,10200,대구광역시,달서구,,두류동,대구광역시 달서구 두류동,일반제조
27290,12400,대구광역시,달서구,,본동,대구광역시 달서구 본동,일반제조
27290,11400,대구광역시,달서구,,본리동,대구광역시 달서구 본리동,일반제조
27290,11500,대구광역시,달서구,,상인동,대구광역시 달서구 상인동,일반제조
27290,10100,대구광역시,달서구,,성당동,대구광역시 달서구 성당동,일반제조
27290,12200,대구광역시,달서구,,송현동,대구광역시 달서구 송현동,일반제조
27290,10700,대구광역시,달서구,,신당동,대구광역시 달서구 신당동,일반제조
27290,11100,대구광역시,달서구,,용산동,대구광역시 달서구 용산동,일반제조
27290,12000,대구광역시,달서구,,월성동,대구광역시 달서구 월성동,일반제조
27290,12100,대구광역시,달서구,,월암동,대구광역시 달서구 월암동,일반제조
27710,25000,대구광역시,달성군,,화원읍,대구광역시 달성군 화원읍,일반제조
27710,25300,대구광역시,달성군,,논공읍,대구광역시 달성군 논공읍,일반제조|제약_바이오
27710,25600,대구광역시,달성군,,다사읍,대구광역시 달성군 다사읍,일반제조
27710,25900,대구광역시,달성군,,유가읍,대구광역시 달성군 유가읍,일반제조
27710,26200,대구광역시,달성군,,옥포읍,대구광역시 달성군 옥포읍,일반제조
27710,26500,대구광역시,달성군,,현풍읍,대구광역시 달성군 현풍읍,일반제조
27710,31000,대구광역시,달성군,,가창면,대구광역시 달성군 가창면,일반제조
27710,33000,대구광역시,달성군,,하빈면,대구광역시 달성군 하빈면,일반제조
27710,38000,대구광역시,달성군,,구지면,대구광역시 달성군 구지면,일반제조
27710,31030,대구광역시,달성군,,가창면 옥분리,대구광역시 달성군 가창면 옥분리,일반제조
27710,38030,대구광역시,달성군,,구지면 내리,대구광역시 달성군 구지면 내리,일반제조
27710,25630,대구광역시,달성군,,다사읍 문양리,대구광역시 달성군 다사읍 문양리,일반제조
27710,25930,대구광역시,달성군,,유가읍 도의리,대구광역시 달성군 유가읍 도의리,일반제조
27710,26530,대구광역시,달성군,,현풍읍 대리,대구광역시 달성군 현풍읍 대리,일반제조
28185,10500,인천광역시,연수구,,동춘동,인천광역시 연수구 동춘동,제약_바이오
28185,10200,인천광역시,연수구,,선학동,인천광역시 연수구 선학동,제약_바이오
28185,10600,인천광역시,연수구,,송도동,인천광역시 연수구 송도동,제약_바이오
