sigungu_cd,bjdong_cd,sido,sigungu,gu,dong,full_nm
11110,10100,서울특별시,종로구,,청운동,서울특별시 종로구 청운동
11110,10200,서울특별시,종로구,,신교동,서울특별시 종로구 신교동
11110,10300,서울특별시,종로구,,궁정동,서울특별시 종로구 궁정동
11110,10400,서울특별시,종로구,,효자동,서울특별시 종로구 효자동
11110,10500,서울특별시,종로구,,창성동,서울특별시 종로구 창성동
11110,10600,서울특별시,종로구,,통의동,서울특별시 종로구 통의동
11110,10700,서울특별시,종로구,,적선동,서울특별시 종로구 적선동
11110,10800,서울특별시,종로구,,통인동,서울특별시 종로구 통인동
11110,10900,서울특별시,종로구,,누상동,서울특별시 종로구 누상동
11110,11000,서울특별시,종로구,,누하동,서울특별시 종로구 누하동
11110,11100,서울특별시,종로구,,옥인동,서울특별시 종로구 옥인동
11110,11200,서울특별시,종로구,,체부동,서울특별시 종로구 체부동
11110,11300,서울특별시,종로구,,필운동,서울특별시 종로구 필운동
11110,11400,서울특별시,종로구,,내자동,서울특별시 종로구 내자동
11110,11500,서울특별시,종로구,,사직동,서울특별시 종로구 사직동
11110,11600,서울특별시,종로구,,도렴동,서울특별시 종로구 도렴동
11110,11700,서울특별시,종로구,,당주동,서울특별시 종로구 당주동
11110,11800,서울특별시,종로구,,내수동,서울특별시 종로구 내수동
11110,11900,서울특별시,종로구,,세종로,서울특별시 종로구 세종로
11110,12000,서울특별시,종로구,,신문로1가,서울특별시 종로구 신문로1가
11110,12100,서울특별시,종로구,,신문로2가,서울특별시 종로구 신문로2가
11110,12200,서울특별시,종로구,,청진동,서울특별시 종로구 청진동
11110,12300,서울특별시,종로구,,서린동,서울특별시 종로구 서린동
11110,12400,서울특별시,종로구,,수송동,서울특별시 종로구 수송동
11110,12500,서울특별시,종로구,,중학동,서울특별시 종로구 중학동
11110,12600,서울특별시,종로구,,종로1가,서울특별시 종로구 종로1가
11110,12700,서울특별시,종로구,,공평동,서울특별시 종로구 공평동
11110,12800,서울특별시,종로구,,관훈동,서울특별시 종로구 관훈동
11110,12900,서울특별시,종로구,,견지동,서울특별시 종로구 견지동
11110,13000,서울특별시,종로구,,와룡동,서울특별시 종로구 와룡동
11110,13100,서울특별시,종로구,,권농동,서울특별시 종로구 권농동
11110,13200,서울특별시,종로구,,운니동,서울특별시 종로구 운니동
11110,13300,서울특별시,종로구,,익선동,서울특별시 종로구 익선동
11110,13400,서울특별시,종로구,,경운동,서울특별시 종로구 경운동
11110,13500,서울특별시,종로구,,관철동,서울특별시 종로구 관철동
11110,13600,서울특별시,종로구,,인사동,서울특별시 종로구 인사동
11110,13700,서울특별시,종로구,,낙원동,서울특별시 종로구 낙원동
11110,13800,서울특별시,종로구,,종로2가,서울특별시 종로구 종로2가
11110,13900,서울특별시,종로구,,팔판동,서울특별시 종로구 팔판동
11110,14000,서울특별시,종로구,,삼청동,서울특별시 종로구 삼청동
11110,14100,서울특별시,종로구,,안국동,서울특별시 종로구 안국동
11110,14200,서울특별시,종로구,,소격동,서울특별시 종로구 소격동
11110,14300,서울특별시,종로구,,화동,서울특별시 종로구 화동
11110,14400,서울특별시,종로구,,사간동,서울특별시 종로구 사간동
11110,14500,서울특별시,종로구,,송현동,서울특별시 종로구 송현동
11110,14600,서울특별시,종로구,,가회동,서울특별시 종로구 가회동
11110,14700,서울특별시,종로구,,재동,서울특별시 종로구 재동
11110,14800,서울특별시,종로구,,계동,서울특별시 종로구 계동
11110,14900,서울특별시,종로구,,원서동,서울특별시 종로구 원서동
11110,15000,서울특별시,종로구,,훈정동,서울특별시 종로구 훈정동
